"severity","issueId","issueDescription","wcagConformance","url","context","howToFix","axeImpact","xpath","learnMore"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/1.html"" role=""link"">                Anchor tag with href to page 1 (blacklisted)            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href=""/1.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/2.html"" role=""link"">                Anchor tag with href to page 2            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href=""/2.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/8.html"" role=""link"">                Anchor tag with href to page 8            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href=""/8.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/9.html"" role=""link"">                Anchor tag with href to page 9            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href=""/9.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/10.html"" role=""link"">                Anchor tag with href to page 10            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""10.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/11.html"" role=""link"">                Anchor tag with href to page 11            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""11.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/12.html"" role=""link"">                Anchor tag with href to page 12            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""12.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/13.html"" role=""link"">                Anchor tag with href to page 13            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""13.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/14.html"" role=""link"">                Anchor tag with href to page 14            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""14.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/15.html"" role=""link"">                Anchor tag with href to page 15            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""15.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
